mode,benchmark,run,real_seconds,user_seconds,sys_seconds,exit_code
native,aes,1,5.84,5.31,0.52,0
native,aes,2,5.79,5.30,0.48,0
native,aes,3,5.74,5.22,0.51,0
native,aes,4,5.73,5.20,0.53,0
native,aes,5,5.73,5.27,0.46,0
native,bigint,1,3.00,2.98,0.01,0
native,bigint,2,2.95,2.94,0.01,0
native,bigint,3,2.95,2.93,0.01,0
native,bigint,4,2.95,2.93,0.01,0
native,bigint,5,2.95,2.94,0.00,0
native,dhrystone,1,6.70,6.69,0.00,0
native,dhrystone,2,6.65,6.65,0.00,0
native,dhrystone,3,8.54,8.53,0.00,0
native,dhrystone,4,6.66,6.65,0.00,0
native,dhrystone,5,6.67,6.67,0.00,0
native,miniz,1,8.22,8.10,0.11,0
native,miniz,2,8.11,7.98,0.12,0
native,miniz,3,8.06,7.96,0.10,0
native,miniz,4,8.12,8.03,0.09,0
native,miniz,5,8.08,7.95,0.12,0
native,norx,1,1.81,1.29,0.51,0
native,norx,2,1.82,1.27,0.54,0
native,norx,3,1.80,1.31,0.48,0
native,norx,4,1.79,1.21,0.58,0
native,norx,5,1.79,1.24,0.54,0
native,primes,1,128.05,127.95,0.09,0
native,primes,2,127.21,127.07,0.12,0
native,primes,3,130.77,130.71,0.05,0
native,primes,4,129.51,129.43,0.06,0
native,primes,5,128.97,128.93,0.03,0
native,qsort,1,17.48,16.55,0.93,0
native,qsort,2,17.27,16.31,0.95,0
native,qsort,3,17.34,16.38,0.95,0
native,qsort,4,17.35,16.40,0.95,0
native,qsort,5,17.41,16.41,0.99,0
native,sha512,1,2.25,2.25,0.00,0
native,sha512,2,2.15,2.14,0.00,0
native,sha512,3,2.15,2.14,0.00,0
native,sha512,4,2.14,2.14,0.00,0
native,sha512,5,2.16,2.15,0.00,0
tvm,aes,1,11.97,7.12,4.84,0
tvm,aes,2,9.89,7.16,2.72,0
tvm,aes,3,10.13,7.46,2.67,0
tvm,aes,4,10.08,7.34,2.73,0
tvm,aes,5,9.77,7.21,2.55,0
tvm,bigint,1,3.07,3.02,0.05,0
tvm,bigint,2,3.02,2.97,0.04,0
tvm,bigint,3,3.02,2.97,0.05,0
tvm,bigint,4,3.05,3.00,0.04,0
tvm,bigint,5,3.04,3.00,0.03,0
tvm,dhrystone,1,7.47,7.45,0.01,0
tvm,dhrystone,2,7.46,7.44,0.01,0
tvm,dhrystone,3,7.49,7.47,0.01,0
tvm,dhrystone,4,7.56,7.55,0.01,0
tvm,dhrystone,5,13.24,13.22,0.01,0
tvm,miniz,1,9.12,8.48,0.63,0
tvm,miniz,2,9.63,9.04,0.59,0
tvm,miniz,3,10.04,9.46,0.57,0
tvm,miniz,4,9.26,8.82,0.44,0
tvm,miniz,5,9.12,8.56,0.55,0
tvm,norx,1,4.72,1.86,2.85,0
tvm,norx,2,4.68,1.86,2.81,0
tvm,norx,3,4.80,1.75,3.03,0
tvm,norx,4,4.66,1.74,2.91,0
tvm,norx,5,5.15,1.84,3.30,0
tvm,primes,1,287.62,287.36,0.24,0
tvm,primes,2,283.11,282.89,0.20,0
tvm,primes,3,283.83,283.59,0.22,0
tvm,primes,4,284.95,284.69,0.24,0
tvm,primes,5,281.55,281.32,0.21,0
tvm,qsort,1,25.14,17.83,7.30,0
tvm,qsort,2,23.36,17.90,5.45,0
tvm,qsort,3,23.20,18.00,5.19,0
tvm,qsort,4,23.71,18.32,5.38,0
tvm,qsort,5,23.52,18.28,5.23,0
tvm,sha512,1,2.23,2.21,0.01,0
tvm,sha512,2,2.18,2.16,0.01,0
tvm,sha512,3,2.18,2.16,0.01,0
tvm,sha512,4,2.25,2.24,0.01,0
tvm,sha512,5,2.18,2.17,0.00,0
